shots	 electron_density:reliability	 cbd	 cb	 breakdown_field	 tb	 electron_temperature_max	 pressure_initial	 tcd	 input_power_mean	 breakdown_voltage	 plasma_life	 breakdown_time	 lb	 electron_density_mean	 ust	 plasma_current_decay	 cst	 tst	 plasma	 electron_confinement_time	 chamber_temperature	 breakdown_rate	 loop_voltage_mean	 pressure_request	 electron_confinement_t98	 zeff	 toroidal_field_mean	 chamber_resistance	 pressure	 chamber_inductance	 toroidal_field_max	 tbd	 input_power_plasma_mean	 breakdown_rate_err	 ubd	 plasma_current_mean	 breakdown_probability	 discharge_aborted	 pressure_chamber	 ucd	 electron_density_equilibrium	 ccd	 loop_voltage_max	 ub	 
29263	  nan	  0.0036	  0.0675	  0.17389	  0.005	  47.028	  0.53895	  0.01	  22731	  11.877	  0.01082	  0.012172	  0.0028	  nan	  0	  1.1317e+07	  0.0027	  0.005	  1	  8.5721e-06	  23.7	  nan	  6.5326	  10	  nan	  3	  0.24981	  0.0097	  6.2626	  1.2e-06	  0.29353	  0.005	  19618	  nan	  0	  3479.6	  91	  nan	  nan	  500	  1.512e+18	  0.0135	  31.144	  700	 
29264	  nan	  0.0036	  0.0675	  0.18387	  0.005	  46.076	  0.53895	  0.01	  19426	  11.977	  0.01002	  0.012391	  0.0028	  nan	  0	  1.7372e+07	  0.0027	  0.005	  1	  1.2292e-05	  23.8	  nan	  6.875	  16	  nan	  3	  0.25769	  0.0097	  9.1227	  1.2e-06	  0.303	  0.005	  15922	  nan	  0	  2825.6	  95	  nan	  nan	  500	  2.2025e+18	  0.0135	  30.931	  700	 
29265	  nan	  0.0036	  0.0675	  0.17661	  0.005	  36.546	  0.53895	  0.01	  15161	  11.863	  0.0085	  0.012526	  0.0028	  nan	  0	  1.9753e+07	  0.0027	  0.005	  1	  1.4454e-05	  23.6	  nan	  7.9694	  22	  nan	  3	  0.23897	  0.0097	  12.027	  1.2e-06	  0.28688	  0.005	  12308	  nan	  0	  1902.4	  95	  nan	  nan	  500	  2.9036e+18	  0.0135	  26.361	  700	 
29266	  nan	  0.0036	  0.0675	  0.18218	  0.005	  19.857	  0.53482	  0.01	  10025	  12.165	  0.00578	  0.012894	  0.0028	  nan	  0	  6.2459e+06	  0.0027	  0.005	  1	  1.5961e-05	  23.5	  nan	  9.3121	  28	  nan	  3	  0.22726	  0.0097	  14.24	  1.2e-06	  0.28525	  0.005	  8472.7	  nan	  0	  1076.6	  96	  nan	  nan	  500	  3.4379e+18	  0.0135	  19.47	  700	 
29267	  nan	  0.0036	  0.0675	  0.17657	  0.005	  38.852	  0.53073	  0.01	  15863	  11.87	  0.0089	  0.012583	  0.0028	  nan	  0	  1.8973e+07	  0.0027	  0.005	  1	  2.417e-05	  23.4	  nan	  7.5262	  34	  nan	  3	  0.2396	  0.0097	  18.917	  1.2e-06	  0.28576	  0.005	  12931	  nan	  0	  2107.7	  95	  nan	  nan	  500	  4.5672e+18	  0.0135	  27.444	  700	 
29268	  nan	  0.0036	  0.0675	  0.17395	  0.005	  47.147	  0.2137	  0.01	  21614	  12.018	  0.0103	  0.012214	  0.0028	  nan	  0	  1.417e+07	  0.0027	  0.005	  1	  2.0771e-05	  23.5	  nan	  6.9757	  34	  nan	  3	  0.24793	  0.0097	  16.287	  1.2e-06	  0.29318	  0.005	  18120	  nan	  0	  3098.4	  96	  nan	  nan	  500	  3.9322e+18	  0.0135	  30.898	  700	 
29269	  nan	  0.0036	  0.0675	  0.16845	  0.005	  51.539	  0.16651	  0.01	  22039	  12.374	  0.01002	  0.012279	  0.0028	  nan	  0	  8.8266e+06	  0.0027	  0.005	  1	  1.8867e-05	  23.5	  nan	  6.7072	  40	  nan	  3	  0.23814	  0.0097	  14.131	  1.2e-06	  0.28261	  0.005	  19526	  nan	  0	  3285.9	  96	  nan	  nan	  500	  3.4116e+18	  0.0135	  30.915	  700	 
29270	  nan	  0.0036	  0.0675	  0.16903	  0.005	  50.819	  0.19715	  0.01	  27683	  12.582	  0.01134	  0.012025	  0.0028	  nan	  0	  7.893e+06	  0.0027	  0.005	  1	  1.4772e-05	  23.5	  nan	  6.9019	  40	  nan	  3	  0.2486	  0.0097	  12.402	  1.2e-06	  0.29183	  0.005	  24759	  nan	  0	  4011	  96	  nan	  nan	  550	  2.9942e+18	  0.0135	  31.821	  700	 
29271	  nan	  0.0036	  0.0675	  0.17041	  0.005	  51.806	  0.20097	  0.01	  30985	  13.542	  0.01074	  0.01195	  0.0028	  nan	  0	  8.8535e+06	  0.0027	  0.005	  1	  1.1674e-05	  23.6	  nan	  7.2174	  40	  nan	  3	  0.24893	  0.0097	  10.801	  1.2e-06	  0.29581	  0.005	  31333	  nan	  0	  4293	  96	  nan	  nan	  600	  2.6078e+18	  0.0135	  31.748	  700	 
29272	  nan	  0.0036	  0.0675	  0.165	  0.005	  49.033	  0.20097	  0.01	  36743	  13.696	  0.01126	  0.011745	  0.0028	  nan	  0	  9.5459e+06	  0.0027	  0.005	  1	  8.2668e-06	  23.6	  nan	  7.8485	  40	  nan	  3	  0.24777	  0.0097	  9.053	  1.2e-06	  0.2943	  0.005	  36225	  nan	  0	  4681.5	  94	  nan	  nan	  650	  2.1857e+18	  0.0135	  32.236	  700	 
29273	  nan	  0.0036	  0.0675	  0.16447	  0.005	  48.389	  0.20174	  0.01	  44215	  15.113	  0.01098	  0.011799	  0.0028	  nan	  0	  9.7013e+06	  0.0027	  0.005	  1	  6.1775e-06	  23.6	  nan	  8.7012	  40	  nan	  3	  0.24502	  0.0097	  8.2562	  1.2e-06	  0.29202	  0.005	  42611	  nan	  0	  5081.4	  89	  nan	  nan	  700	  1.9933e+18	  0.0135	  33.45	  700	 
